app_id,name,release_date,price,metacritic_url,categories,genres,tags
2058150,Duck Paradox,2024-10-09,2.49,https://www.metacritic.com/game/pc/duck-paradox?ftag=MCD-06-10aaa1f,"Single-player,Full controller support,Family Sharing","Action,Adventure,Indie","Singleplayer,Shoot 'Em Up,Arcade,Action Roguelike,Bullet Hell,Platformer,Difficult,Adventure,Time Manipulation,Perma Death,Pixel Graphics,Sandbox,Colorful,Souls-like,Rogue-like,Shooter,Bullet Time,Multiple Endings,Controller,Female Protagonist"
2069180,The King's Dilemma: Chronicles,2023-01-30,4.49,https://www.metacritic.com/game/pc/the-kings-dilemma-chronicles?ftag=MCD-06-10aaa1f,"Single-player,Steam Achievements,Steam Cloud,Family Sharing","RPG,Simulation","Simulation,RPG,Political Sim,Interactive Fiction,Strategy RPG,Base-Building,Lore-Rich,Choices Matter,Dynamic Narration,Multiple Endings,Nonlinear,Story Rich,Historical,Economy,Medieval,Politics,Management,Political,Hand-drawn,Fantasy"
2396240,SteamWorld Heist II,2024-08-08,9.89,https://www.metacritic.com/game/pc/steamworld-heist-ii?ftag=MCD-06-10aaa1f,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Family Sharing","Indie,RPG,Strategy","Funny,Singleplayer,Turn-Based Tactics,Turn-Based Strategy,Turn-Based,Story Rich,Tactical RPG,2D,Strategy,Puzzle,RPG,Heist,Adventure,Action-Adventure,Action,Naval,Indie,Tactical,Action RPG,Exploration"
2231190,Magical Delicacy,2024-07-16,14.99,https://www.metacritic.com/game/pc/magical-delicacy?ftag=MCD-06-10aaa1f,"Single-player,Steam Achievements,Full controller support,Adjustable Text Size,Camera Comfort,Color Alternatives,Custom Volume Controls,Adjustable Difficulty,Keyboard Only Option,Playable without Timed Input,Save Anytime,Steam Cloud,Family Sharing","Adventure,Indie","Cooking,Platformer,Magic,Exploration,Pixel Graphics,Relaxing,2D Platformer,Cute,2D,Female Protagonist,Economy,Metroidvania,Fantasy,Life Sim,Story Rich,Management,Mystery,RPG,Crafting,Adventure"
1485590,ENDLESS™ Dungeon - Definitive Edition,2023-10-19,7.49,https://www.metacritic.com/game/pc/endless-dungeon?ftag=MCD-06-10aaa1f,"Single-player,Multi-player,Co-op,Online Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Family Sharing","Action,Strategy","Action,Tower Defense,Rogue-like,Strategy,Dungeon Crawler,Action RPG,Rogue-lite,Action Roguelike,Twin Stick Shooter,Mystery Dungeon,Tactical RPG,Sci-fi,Co-op,Soundtrack,Replay Value,Top-Down,3D,PvE,Multiplayer,Procedural Generation"
2492290,Uncover the Smoking Gun,2024-06-23,11.99,https://www.metacritic.com/game/pc/uncover-the-smoking-gun?ftag=MCD-06-10aaa1f,"Single-player,Steam Achievements,Steam Trading Cards","Adventure,Casual,Indie,Simulation,Strategy","Immersive Sim,Interactive Fiction,Investigation,Crime,First-Person,Detective,Colorful,Text-Based,Strategy,Adventure,Multiple Endings,Story Rich,Mystery,Futuristic,Simulation,Resource Management,Visual Novel,Casual,Cinematic,Realistic"
692890,Roboquest,2023-11-07,14.99,https://www.metacritic.com/game/pc/roboquest?ftag=MCD-06-10aaa1f,"Single-player,Multi-player,Co-op,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards,Camera Comfort,Custom Volume Controls,Adjustable Difficulty,Stereo Sound,Steam Cloud,Family Sharing","Action,Indie","FPS,Action Roguelike,Rogue-lite,Shooter,Online Co-Op,Co-op,Fast-Paced,Looter Shooter,Bullet Hell,Action,Post-apocalyptic,Indie,Stylized,Sci-fi,Multiplayer,Perma Death,Rogue-like,First-Person,Colorful,Singleplayer"
695330,SEASON: A letter to the future,2023-01-31,24.99,https://www.metacritic.com/game/pc/season-a-letter-to-the-future?ftag=MCD-06-10aaa1f,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing","Adventure,Casual,Indie","Open World,Mystery,Visual Novel,Narrative,Female Protagonist,Emotional,Interactive Fiction,Exploration,Atmospheric,Relaxing,Drama,Adventure,Stylized,Philosophical,Singleplayer,Nature,Photo Editing,Cinematic,Story Rich,Narration"
2545360,Lonely Mountains: Snow Riders,2025-01-21,16.99,https://www.metacritic.com/game/pc/lonely-mountains-snow-riders?ftag=MCD-06-10aaa1f,"Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,Steam Achievements,Full controller support,Adjustable Text Size,Camera Comfort,Color Alternatives,Custom Volume Controls,Keyboard Only Option,Playable without Timed Input,Stereo Sound,Surround Sound,Steam Cloud,Family Sharing,Steam Timeline","Indie,Racing,Sports","Sports,Skiing,Multiplayer,Racing,Online Co-Op,Singleplayer,PvP,PvE,Nature,Exploration,Arcade,Family Friendly,Snow,Stylized,Character Customization,Relaxing,Controller,3D,Physics,Old School"
2473480,Tails of Iron 2: Whiskers of Winter,2025-01-28,12.49,https://www.metacritic.com/game/pc/tails-of-iron-2-whiskers-of-winter?ftag=MCD-06-10aaa1f,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Family Sharing","Action,Adventure,Indie,RPG","Action RPG,Souls-like,Difficult,Combat,Dark Fantasy,Singleplayer,Adventure,Action-Adventure,Story Rich,RPG,2D,Action,Narration,Fantasy,Atmospheric,Medieval,Character Customization,Indie,2.5D,Swordplay"
1134100,Frozenheim,2022-06-16,5.99,https://www.metacritic.com/game/pc/frozenheim?ftag=MCD-06-10aaa1f,"Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,Steam Achievements,Family Sharing","Simulation,Strategy","Economy,Resource Management,Co-op,PvP,Base-Building,Online Co-Op,Vikings,Colony Sim,Simulation,Management,War,Medieval,Strategy,Singleplayer,Multiplayer,Naval Combat,3D,Stylized,Fantasy,Combat"
1608640,OTXO,2023-04-20,7.49,https://www.metacritic.com/game/pc/otxo?ftag=MCD-06-10aaa1f,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing","Action,Simulation","Action Roguelike,Top-Down Shooter,Violent,Bullet Time,Fast-Paced,Shoot 'Em Up,Blood,Rogue-lite,Noir,Singleplayer,Mystery,Action,Combat,Survival,Shooter,Top-Down,Controller,Great Soundtrack,Rogue-like,Simulation"
